,nombreestablecimiento,Primary,Secondary,Middle,Preschool,Childcare,bilingual,public,lat,lon
92,JARDIN INFANTIL LA CASITA DE VIKY,False,False,False,True,False,False,False,4.664007199999999,-74.1103916
93,LIC  NTRA SRA DE BELEN                                                                              ,True,False,False,True,False,False,False,4.544884199999999,-74.1146692
94,INSTITUTO EL ROBLE,False,True,True,False,False,False,False,4.734374,-74.04330039999999
95,COLEGIO TABORA  (IED),True,True,True,True,False,False,True,4.6939018,-74.098145
96,COLEGIO FRANCISCO I,True,True,True,True,False,True,False,4.665787900000001,-74.1532361
97,LIC BOTERITOS                                                                                       ,True,False,False,True,False,True,False,4.6340533,-74.19368469999999
98,COLEGIO DE CULTURA POPULAR (IED),True,True,True,True,False,False,True,4.5550974,-74.13474649999999
99,COLEGIO LOS COMUNEROS - OSWALDO GUAYAZAMIN (IED),True,True,True,True,False,False,True,4.5039187,-74.11797469999999
100,COLEGIO RAFAEL URIBE URIBE (IED),True,True,True,True,False,False,True,4.6212466,-74.0782375
101,LIC LOS ANGELES SUBA                                                                                ,True,False,False,True,False,True,False,4.73512,-74.08765520000001
102,JARD INF BILING K-RITAS FELICES                                                                     ,True,False,False,True,False,True,False,4.5859099,-74.117003
103,JARD INF INFANCIA CREATIVA                                                                          ,False,False,False,True,False,True,False,4.5773179,-74.0950629
105,COLEGIO AVE MARIA                                                                                 ,True,True,True,True,False,False,False,4.5767126,-74.0853628
106,COLEGIO MORALBA SUR ORIENTAL (IED),True,True,True,True,False,False,True,4.5429575,-74.0818475
107,COLEGIO BILINGÜE INTEGRAL,True,True,True,True,False,True,False,4.5973839,-74.1042468
108,LIC INF SANTA TERESITA DE LISIEUX                                                                   ,True,True,True,True,False,False,False,4.6439103,-74.1366053
109,JARD INF LA TIA  DE PILLY                                                                           ,True,False,False,True,False,True,False,4.6822966,-74.150015
110,CENT EDUC MANUEL ELKIN PATARROYO                                                                    ,True,True,True,True,False,True,False,4.5654085,-74.0991543
111,HOG PSICOPEDAG LOS PASTORCITOS                                                                      ,False,False,False,True,False,True,False,4.6406219,-74.07767539999999
112,COL NUEVO SAN LUIS GONZAGA                                                                          ,True,True,True,True,False,False,False,4.7457972,-74.0848989
113,COL ADVENTISTA EMMANUEL                                                                             ,True,True,True,True,False,True,False,4.586546,-74.0997667
114,JARD INF COLEGIO PIERRE LA ROUSSE                                                                   ,True,False,False,True,False,True,False,4.7427005,-74.09932169999999
115,COL MARIA ADELAIDA HOY                                                                              ,True,True,False,True,False,True,False,4.5656441,-74.09383389999999
116,COL SAN LUCAS                                                                                       ,True,False,False,True,False,False,False,4.6024619,-74.1052535
117,CENT EDUC DIST CAFAM LOS NARANJOS,True,True,True,True,False,False,True,4.6082261,-74.1939599
118,GIMN CACERES                                                                                        ,True,True,True,True,False,False,False,4.6075789,-74.19827819999999
119,LIC Y JARD INF FANTASIAS DE PIOLIN                                                                  ,True,False,False,True,False,True,False,4.6923001,-74.10602399999999
120,COL PSICOPEDAG ERASMO DE ROTHERDAM                                                                  ,True,True,True,True,False,False,False,4.6411106,-74.1383929
121,GIMN ANTONIO ARBOLEDA                                                                               ,True,False,False,True,False,True,False,4.6427396,-74.1615819
122,GIM INF ALMENDROS                                                                                   ,True,False,False,True,False,True,False,4.7579279,-74.098692
123,COLEGIO VILLA ELISA (IED),True,True,True,True,False,False,True,4.7323004,-74.0879545
125,GIMN RINCON DE LOS ANGELES                                                                          ,True,False,False,True,False,True,False,4.586293899999999,-74.06547189999999
126,LIC  LEANDRO CONCHA                                                                                 ,True,False,False,True,False,True,False,4.6113297,-74.1674252
127,COL METODISTA DE COLOMBIA                                                                           ,True,True,True,True,False,True,False,4.5504659,-74.147446
128,COL STA HELENA BAVIERA                                                                              ,True,False,False,True,False,True,False,4.6163434,-74.102537
129,COL SANTA ISABEL DE HUNGRIA                                                                         ,True,True,True,True,False,True,False,4.7473285,-74.0580372
130,LIC INF SAN LORENZO                                                                                 ,False,False,False,True,False,True,False,4.7169455,-74.1407699
131,LIC MODERNO LOS ANDES                                                                               ,True,False,False,True,False,True,False,4.5866175,-74.1665768
132,JARD INF LOS PEQUEÑOS PRADISTAS                                                                     ,True,False,False,True,False,True,False,4.7146783,-74.0598347
133,JARD INF JULIO FLOREZ,True,False,False,True,False,False,True,4.687903899999999,-74.07398490000001
134,INST SANTA MARIA DE LA CRUZ                                                                         ,True,True,True,True,False,True,False,4.5774116,-74.1577131
135,COLEGIO UNILATINA,False,True,True,False,False,False,False,4.631985999999999,-74.0616385
136,COLEGIO GENERAL SANTANDER (IED),True,True,True,True,False,False,True,4.716108999999999,-74.140935
137,COLEGIO INTERNACIONAL CAMINO A LA CIMA,True,True,True,True,False,False,False,4.608802,-74.1644817
138,LIC BILING ROMULO GALLEGOS                                                                          ,True,True,True,True,False,True,False,4.6099951,-74.1089703
139,JARD INF ALEGRE DESPERTAR                                                                           ,False,False,False,True,False,False,False,4.5811575,-74.0862233
140,JARD INF BILING FANTASIA DE COLORES                                                                 ,False,False,False,True,False,True,False,4.7287138,-74.0913197
141,LIC PEDAGOGICO                                                                                      ,True,True,True,True,False,True,False,4.6577623,-74.0671685
142,COLEGIO TALENTOS,True,True,True,True,False,False,False,4.6279694,-74.1363891
143,COL NUEVO MUNDO                                                                                     ,True,False,False,True,False,False,False,4.5222577,-74.121725
144,GIMN MODERNO CASTILLA                                                                               ,True,True,True,True,False,True,False,4.6391075,-74.14302579999999
145,POLITECNICO LA SALLE                                                                                ,False,True,True,False,False,True,False,4.608580799999999,-74.0731701
146,COL ALTA BLANCA                                                                                     ,True,False,False,True,False,False,False,4.733808199999999,-74.0278933
147,COLEGIO LLANO ORIENTAL (IED),True,True,True,True,False,False,True,4.6129009,-74.1972778
148,LIC FORMACION EDUC PERSONALIZADA                                                                    ,False,True,True,False,False,True,False,4.673722,-74.051969
149,COLEGIO REPUBLICA DE BOLIVIA (IED),True,True,True,True,False,False,True,4.684730099999999,-74.0816554
150,COL SAN RAFAEL                                                                                      ,True,False,False,True,False,True,False,4.601048599999999,-74.14755339999999
151,I.E.ESTILO DINAMICO                                                                           ,True,False,False,True,False,True,False,4.686735100000001,-74.0726072
152,LIC NUEVO MUNDO                                                                                     ,True,False,False,True,False,False,False,4.5929042,-74.0745906
153,COL CARDENAL PACELLI                                                                                ,True,True,True,False,False,False,False,4.768193699999999,-74.0578578
154,COL SANTA ANA                                                                                       ,True,True,True,True,False,False,False,4.6761595,-74.1458748
155,GIMN MI BELLA INFANCIA                                                                              ,True,False,False,True,False,False,False,4.6201628,-74.1181083
156,JARD INF MI PEQUEÑO MUNDO BARRETO GOMEZ Y CIA LTDA                                                  ,False,False,False,True,False,False,False,4.7245538,-74.0760064
157,COL ROBERT HOOKE                                                                                    ,True,True,True,False,False,True,False,4.585274399999999,-74.1006507
158,COLEGIO ANTONIO GRANADOS,True,False,False,True,False,False,False,4.7402017,-74.0928604
159,CENT DE ESTIMULACION TEMPRANA DESPERTAR                                                             ,True,False,False,True,False,False,False,4.710988599999999,-74.072092
160,COL JHON DALTON                                                                                     ,True,True,True,False,False,True,False,4.639668500000001,-74.0696346
161,JARD INF TIA CECY                                                                                   ,False,False,False,True,False,True,False,4.6999725,-74.0964721
162,JARD INF LUKAS KINDERGARDEN                                                                         ,False,False,False,True,False,True,False,4.7048333,-74.0968517
163,COL PSICOPEDAG VILLA MAYOR                                                                          ,True,True,True,True,False,True,False,4.593637999999999,-74.1182725
164,LIC PEDAG MONTFORTIANO                                                                              ,True,True,True,True,False,False,False,4.593243,-74.1405346
165,COL PREESC LAS  ALEJANDRITAS                                                                        ,True,False,False,True,False,True,False,4.7415633,-74.1035952
166,CENT EDUC DIST FE Y ALEGRIA BELLAVISTA LA Y                                                         ,True,True,True,True,False,True,False,4.5746421,-74.15821749999999
167,JARD PSICOPEDAG EL MANANTIAL DEL SABER                                                              ,True,False,False,True,False,False,False,4.6008447,-74.0954902
169,JARD INF TALLER DE ARTE ARCO IRIS                                                                   ,False,False,False,True,False,False,False,4.6692433,-74.04816559999999
170,COL COOP MINUTO DE DIOS                                                                             ,False,True,True,False,False,True,False,4.6991308,-74.090535
171,COL LUIS CONCHA CORDOBA                                                                             ,True,True,True,True,False,True,False,4.604386400000001,-74.1134009
172,COLEGIO DEBORA ARANGO PEREZ (IED),True,True,True,True,False,False,True,4.6389338,-74.1954566
173,COL  INF PSICOPEDAGOGICO CRECER                                                                     ,True,False,False,True,False,False,False,4.738629599999999,-74.0261895
174,CENT EDUC DE NSTRA SRA DE LA PAZ                                                                    ,True,True,True,False,False,False,False,4.5887117,-74.1575014
175,LIC CARMELITA                                                                                       ,True,True,True,True,False,False,False,4.6058481,-74.1741236
176,COLEGIO ANTONIO NARIÑO (IED),True,True,True,True,False,False,True,4.6859456,-74.10393429999999
177,COLEGIO ALFONSO REYES ECHANDIA (IED),True,True,True,True,False,False,True,4.7037252,-74.1119184
178,JARD INF MI SEGUNDA ESTACION                                                                        ,False,False,False,True,False,True,False,4.573099,-74.113016
179,COL ARTEAGA MUÑOZ                                                                                   ,False,True,True,False,False,True,False,4.587771099999999,-74.10402169999999
180,LICEO PEDAGÓGICO FORJADORES DEL FUTURO,True,False,False,True,False,False,False,4.6293868,-74.1971871
181,COL CENCOSISTEMAS                                                                                   ,False,True,True,False,False,False,False,4.6107103,-74.0798736
182,COLEGIO MANUEL DEL SOCORRO RODRIGUEZ (IED),True,True,True,True,False,False,True,4.5828747,-74.1266775
183,GIMNASIO BILINGUE CASA CAMPESTRE DE LOS NIÑOS,False,False,False,True,False,False,False,4.6676353,-74.1246987
184,JARDÍN INFANTIL HUELLAS MAGICAS,False,False,False,True,False,False,False,4.591276199999999,-74.14198619999999
185,COL SANTA CECILIA                                                                                   ,True,True,False,True,False,False,False,4.5928699,-74.14277659999999
186,LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ                                                                ,True,True,True,True,False,False,False,4.7047088,-74.0927268
187,GIMN PEDAG NSTRA SRA DE FATIMA                                                                      ,True,True,True,True,False,True,False,4.713481499999999,-74.06078699999999
188,JARD INF CUENTOS Y RONDAS                                                                           ,False,False,False,True,False,True,False,4.7155399,-74.1181108
189,COL COLOMBO BOLIVIANO                                                                               ,True,True,True,True,False,True,False,4.662889499999999,-74.0538309
190,CENT EDUC DIST COLSUBSIDIO TORQUIGUA,True,True,True,True,False,False,True,4.7205167,-74.1434395
191,COL Y JARD INF MI EDAD FELIZ                                                                        ,True,False,False,True,False,True,False,4.703234,-74.1345419
192,COLEGIO JOSE FELIX RESTREPO (IED),True,True,True,True,False,False,True,4.5906527,-74.078397
193,JARD INF MOUGLI                                                                                     ,False,False,False,True,False,True,False,4.6963644,-74.0736877
194,CENT PANAMERICANO DE CAPACITACION SEDE ESTRADA                                                      ,True,True,True,False,False,False,False,4.6781065,-74.0862785
195,GIMN SANTA ROSA DE LIMA                                                                             ,True,True,True,True,False,True,False,4.6222223,-74.072544
196,GIMN DEL NORTE,True,True,True,True,False,False,False,4.7839842,-74.0430434
197,COL CENT DE APLICACIÓN PEDAGOGICA (CEDAP),True,True,True,False,False,True,False,4.6445847,-74.0712736
198,JARDIN INFANTIL CAMINOS MAGICOS,False,False,False,True,False,False,False,4.6659174,-74.0814753
199,GIMNASIO ANDINO,False,False,False,True,False,False,False,4.6409569,-74.07721889999999
200,LIC LOS CENTAUROS                                                                                   ,True,False,False,True,False,True,False,4.6999457,-74.1235791
201,FUND COL MAYOR DE SAN BARTOLOME                                                                     ,True,True,True,True,False,False,False,4.5970871,-74.07578409999999
202,GIMN LOS ROBLES                                                                                     ,True,True,True,True,False,False,False,4.8127067,-74.0636095
203,COL PARROQ SAN ROQUE                                                                                ,True,False,False,True,False,False,False,4.6019045,-74.0893312
204,COLEGIO LICEO NACIONAL AGUSTIN NIETO CABALLERO (IED),True,True,True,True,False,False,True,4.6056139,-74.0859951
205,EXTERN SIMON BOLIVAR                                                                                ,False,True,True,False,False,True,False,4.6469347,-74.0675792
206,LICEO MODERNO BRITANICO,True,False,False,True,False,False,False,4.7059604,-74.09884339999999
207,COLEGIO EL LIBERTADOR (IED),True,True,True,True,False,False,True,4.579588800000001,-74.1160832
208,LIC SOMA                                                                                            ,True,False,False,True,False,False,False,4.5998131,-74.1562971
209,JARD INF MATERNAL LA CASITA DEL SABER                                                               ,False,False,False,True,False,False,False,4.5983933,-74.1042209
210,COLEGIO DE INTEGRACION CULTURAL COLDIC,False,False,False,True,False,False,False,4.6106074,-74.1171025
211,INST SALCEDO                                                                                        ,True,False,False,True,False,True,False,4.5610807,-74.11230499999999
212,PREESCOLAR HORMIGUITAS,True,False,False,True,False,False,False,4.6291341,-74.14493759999999
213,COL REAL DE BOGOTA                                                                                  ,True,True,True,True,False,True,False,4.6850654,-74.0948006
214,CENT EDUC DIST DON BOSCO V,True,True,True,True,False,False,True,4.749791,-74.107632
215,INST GERARDO VALENCIA CANO (LA AZUCENA DE BOS                                                       ,True,True,False,True,False,True,False,4.5985269,-74.1835599
217,LICEO INFANTIL FANTASIAS,False,False,False,True,False,False,False,4.6620859,-74.134954
218,JARD INF LUZ  DEL MAÑANA                                                                            ,False,False,False,True,False,False,False,4.694865099999999,-74.1049365
219,JARD INF EL CIEMPIES YEYE                                                                           ,False,False,False,True,False,True,False,4.5885193,-74.1473849
221,GIMNASIO MABEL CONDEMARIN,True,False,False,False,False,False,False,4.7307025,-74.09458939999999
222,COLEGIO BILINGÜE SAN JUAN DE ÁVILA,True,True,True,True,False,False,False,4.782049499999999,-74.0901686
223,LIC LINGÜISTICO MODERNO LTDA                                                                        ,True,True,True,True,False,True,False,4.558413,-74.1108953
224,COLEGIO MONTEBELLO (IED),True,True,True,True,False,False,True,4.5680155,-74.09140649999999
225,JARD INF CARTAGENA DE INDIAS                                                                        ,False,False,False,True,False,True,False,4.58109,-74.0992642
226,COL INF COLOMBIANO                                                                                  ,True,False,False,False,False,False,False,4.5019395,-74.0853846
227,LIC PSICOPEDAG BOLIVIA                                                                              ,True,True,True,True,False,True,False,4.701041,-74.12692679999999
228,COL ANTONIO GARCIA (IED),True,True,True,True,False,False,True,4.5448473,-74.1390388
229,LIC PSICOPEDAG EL PARAISO INFANTIL                                                                  ,True,False,False,True,False,False,False,4.495763999999999,-74.1152627
230,COL INTERAMERICANO                                                                                  ,True,True,True,True,False,False,False,4.574782,-74.0926781
231,JARD INF PINKYLANDIA                                                                                ,False,False,False,True,False,False,False,4.610532399999999,-74.1962181
232,COL ANDINO                                                                                          ,True,True,True,True,False,True,False,4.7951743,-74.04658640000001
233,GIMN MONSEÑOR MANUEL MARIA CAMARGO                                                                  ,True,True,True,True,False,False,False,4.5882336,-74.093059
234,COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA                                                         ,True,True,True,True,False,False,False,4.706773399999999,-74.1255956
235,TALLER DE CREACION INFANTIL,False,False,False,True,False,False,False,4.6924845,-74.08607719999999
236,COLEGIO GIMNASIO SABIDURIA DEL FUTURO,True,True,False,True,False,False,False,4.7040145,-74.11359259999999
237,JARD INF Y GUARD RICAURTE                                                                           ,False,False,False,True,False,True,False,4.768147,-74.026782
238,LICEO SANTA ANA DEL SUR,True,False,False,True,False,False,False,4.5761859,-74.0841573
239,GIMN INDOAMERICANO                                                                                  ,True,False,False,True,False,True,False,4.6120566,-74.0708982
240,LICEO INFANTIL APRENDAMOS JUNTOS,False,False,False,True,False,False,False,4.717817399999999,-74.12368769999999
241,COL MAYOR DE NSTRA SRA DEL ROSARIO                                                                  ,True,True,True,True,False,True,False,4.710988599999999,-74.072092
242,JARD INF MANECITAS ROSADITAS                                                                        ,True,False,True,True,False,True,False,4.7532472,-74.10661
243,TALLER DE PREESC PILATUNAS Y LETRAS                                                                 ,False,False,False,True,False,True,False,4.618219799999999,-74.1170337
244,COLEGIO MOTORISTA (CED),True,True,False,True,False,False,True,4.600379,-74.1550513
245,LIC DIANA PAOLA                                                                                     ,True,False,False,True,False,True,False,4.710988599999999,-74.072092
247,COL SAN BARTOLOME LA MERCED                                                                         ,True,True,True,True,False,False,False,4.6201254,-74.0645732
248,COL COOP NUEVO MUZU                                                                                 ,True,True,True,True,False,False,False,4.5932559,-74.1347943
249,COLEGIO MANUELITA SAENZ  (IED),True,True,True,True,False,False,True,4.5436636,-74.1438152
250,COL AGUSTINIANO CIUDAD SALITRE                                                                      ,True,True,True,True,False,True,False,4.622916399999999,-74.0702934
